time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.13259008358e-08,2.34106355219e-06,10.0089903385,0.00115740717216,6.28308428003,0.0,9.05111019889e-06,0.000174161865638,0.299647281794,0.0426856926123,-0.00528435903697,0.0,496.6877345551615,496.30013837691666,494.38305477652875,497.5176792307094
0.12000000000000001,4.69821762033e-06,5.32438444836e-05,10.0341253197,0.00367898772151,6.28254916212,0.0,0.000195530562487,0.00183385623882,0.538102638802,0.0406743001484,-0.017413199645,0.0,479.4764444330262,478.55437606433287,478.95475733148123,478.8025976367418
0.18,3.32846298083e-05,0.000247652842252,10.0690903398,0.00645774326115,6.28152622465,0.0,0.000861119374557,0.00491019167416,0.627351454909,0.055703656525,-0.0163302907502,0.0,434.0606636660808,434.1515909056472,432.8512004937133,434.1152662677769
0.23999999999999996,0.000128751524236,0.000710208289957,10.1128140912,0.00972144039306,6.28031202397,0.0,0.00244775793828,0.0108946996291,0.829978316538,0.0516410574299,-0.0294923356429,0.0,469.3051682398506,468.2826082046787,468.90899989674216,468.5951426427509
0.3,0.000342793066033,0.00158558259295,10.166487417,0.0128259819175,6.27963339596,0.0,0.00480209026979,0.0186131082645,0.959028776987,0.0519441216981,0.0112316044907,0.0,444.9676581713654,448.2886083343681,446.8613146888945,446.8877258125089
0.36000000000000004,0.00070628582687,0.00299755391529,10.228400862,0.0156889098704,6.28044798089,0.0,0.00723254338885,0.0287778738615,1.10461867681,0.0375298758496,0.0178958225399,0.0,452.37811057026227,452.91423262937275,452.12570789902344,450.9643465750107
0.4200000000000001,0.00119959446049,0.0051013007897,10.3003582164,0.0186921398689,6.28131871088,0.0,0.00909736136624,0.0416551737284,1.29375977512,0.0675733938312,0.00670065144887,0.0,466.2772939414383,465.4018663037277,464.1371177860009,466.4901107670847
0.48000000000000015,0.0017864317512,0.00804555145255,10.383156474,0.0234294697252,6.28141004259,0.0,0.0104325434161,0.0569850317434,1.46596664769,0.0953016569498,-0.0116381312898,0.0,461.29574996283293,459.84546626625644,460.2024103104994,462.3962615081589
0.5400000000000001,0.00245836617877,0.0120562002929,10.4776016399,0.0293198905691,6.28072680063,0.0,0.0120470350699,0.0773882236157,1.68189470177,0.103370937952,-0.0108904960981,0.0,474.2175232253281,474.2750763163314,474.24579693393497,474.87270317328205
0.6000000000000002,0.00323553535777,0.0173452581169,10.5820268477,0.0360096913056,6.28033702244,0.0,0.0139114229533,0.0995854659079,1.798746074,0.124140893165,0.00109519201526,0.0,444.7168100667546,445.69750049801684,444.1187955608316,445.82972769248477
0.6600000000000003,0.00413275597801,0.0241524251018,10.6945413086,0.0432090754628,6.280868671,0.0,0.0159587571871,0.128116507477,1.95145475433,0.110039463253,0.0210680781858,0.0,455.6898194812232,457.28342136571837,457.2694283039766,456.15723879726505
0.7200000000000003,0.00513348507771,0.0327752900644,10.8150145449,0.0501192507056,6.28265579379,0.0,0.0172356154118,0.160006554083,2.06408840584,0.123835250753,0.0431530605768,0.0,443.95535292260513,445.76391029007317,444.20918046067703,445.35069959219885
0.7800000000000004,0.00616766482031,0.0436386619009,10.9456913402,0.0581629091246,0.00279017514428,0.0,0.0168709254284,0.203024310072,2.29132304507,0.149152705707,0.0724959471186,0.0,479.07296527118825,481.30044680002413,478.57284805978793,480.5106250913345
0.8400000000000004,0.0071108082249,0.0569699480704,11.0847132905,0.0672267505203,0.00684970405452,0.0,0.0141659950408,0.24219865025,2.34257828437,0.154631888474,0.0556157356977,0.0,427.3972794043218,425.95977640827465,426.5959047708149,427.08597620957534
0.9000000000000005,0.00781914120284,0.0728055206621,11.2264733809,0.0775030279718,0.00965060397933,0.0,0.00914657372325,0.286568307509,2.38259980542,0.192539645981,0.0152284867117,0.0,424.6462866126,421.1688536113343,422.3420109122391,425.6271498811747
0.9600000000000005,0.00818299755568,0.0914916722348,11.3704714804,0.0886471053305,0.0111466903332,0.0,0.00286671410285,0.337348564779,2.4171661218,0.166501706842,0.0394545722799,0.0,421.26809035022495,423.35780753235093,422.84468053002564,420.6305574140631
1.0200000000000005,0.00808819034905,0.113810860177,11.520754278,0.0983169813902,0.0137428238949,0.0,-0.00630501752837,0.407700895449,2.59175836013,0.147497654345,0.0499734607769,0.0,465.3148703124143,466.13851315796865,467.9774881407129,466.5190050480144
1.0800000000000005,0.00737442093956,0.140611327296,11.6819282773,0.107225801647,0.0169446262733,0.0,-0.0178399906708,0.486620548046,2.78013839537,0.150374386979,0.0594002874797,0.0,471.460975641378,472.1904252353403,471.33784041114495,471.5794072695052
1.1400000000000006,0.0060029150613,0.171664437143,11.8480683338,0.115994475402,0.0200288318979,0.0,-0.0281657502586,0.54923082383,2.75780888355,0.135966703861,0.0262711321075,0.0,406.72348086946215,403.74722336146016,406.43268179137283,405.16139794857816
1.2000000000000006,0.003842502043,0.207329343123,12.0188646449,0.123896743569,0.0216648001788,0.0,-0.0440217357849,0.640451237882,2.93481885277,0.12142925178,0.0291851050086,0.0,468.6074602126034,468.8340533693681,471.0455878537055,469.9348183091577
1.2600000000000007,0.000808108128684,0.247982853022,12.1950054893,0.131113078513,0.0239128383763,0.0,-0.0573034129335,0.715288995874,2.93642418218,0.117854073331,0.0503096713568,0.0,414.78113358010114,416.6329664999262,414.6822876347676,414.3822936090036
